postaja,lat,lon
Zagreb-Maksimir,45.8218755,16.0334954
Zagreb-Grič,45.814668,15.9720826
Zagreb-aerodrom,45.739605,16.081766
Puntijarka(Medvednica),45.9035741,15.9691263
Krapina,46.1628028,15.8711133
Varaždin,46.3126731,16.3510191
Križevci,46.0247391,16.5457794
Bilogora,45.8834427,17.2002854
Daruvar,45.5928272,17.2237617
Bjelovar,45.8986869,16.8421977
Sisak,45.4891806,16.374592
Gorice(kodNoveGradiške),45.2599175,17.3826861
Kutjevo,45.423994,17.882287
SlavonskiBrod,45.1665803,18.0121385
Osijek-Čepin,45.5236008,18.5737213
Osijek-aerodrom,45.4608765,18.8170618
Gradište,45.1473588,18.70742
Karlovac,45.4892522,15.5486303
Ogulin,45.2658579,15.2255172
Gospić,44.5464046,15.375421
Parg-Čabar,45.5962478,14.6464518
Pazin,45.2391995,13.9363313
Pula-aerodrom,44.8956722,13.9189719
Porer,44.7579157,13.8908614
MonteKope,44.8248515,13.8684859
Sv.Ivannapučini,45.0431457,13.6141551
Opatija,45.3349238,14.3067834
Rijeka,45.3267976,14.442208
Rijeka-aerodrom,45.2167859,14.5709681
Malinska,45.1230473,14.5288337
Crikvenica,45.1737049,14.6927906
Senj,44.9897329,14.9030557
Zavižan,44.8146386,14.975288
Rab,44.7562894,14.7607367
MaliLošinj,44.5316056,14.4694111
Zadar,44.1168594,15.2353257
Zadar-aerodrom,44.1001749,15.3574881
VeliRat,44.1417668,14.8516813
Knin,44.04085,16.199433
Šibenik,43.7338436,15.8961863
Split-Marjan,43.5111658,16.4385556
Split-aerodrom,43.5397753,16.3002241
Makarska,43.2939756,17.020242
Sv.Jure(Biokovo),43.3420073,17.0538352
Hvar,43.1738919,16.5565235
Komiža,43.044573,16.090491
Ploče,43.0524293,17.4360676
Dubrovnik,42.6487363,18.0946802
Dubrovnik-aerodrom,42.5614934,18.2643363
Gruda,42.5173329,18.3723488
Prevlaka,42.3995263,18.5168926
Lastovo,42.750601,16.8799043
Palagruža,42.3923768,16.2594947
NPPlitvičkajezera,44.85230125,15.590348985343969
M
